Cycle,a,b,c,d,e,f,g,h
170,1605.160165495633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,1605.1726208017046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,1605.1850758312714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,1605.1975305843398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,1605.2099850609156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,1605.222439261005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,1605.2348931846145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,1605.2473468317498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,1605.2598002024172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,1605.272253296623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,1605.284706114373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,1605.2971586556735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,1605.3096109205308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,1605.3220629089508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,1605.3345146209397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,1605.3469660565036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,1605.3594172156488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,1605.3718680983814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,1605.3843187047073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,1605.3967690346328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,1605.4092190881643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,1605.4216688653075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,1605.4341183660688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,1605.4465675904542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,1605.4590165384698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,1605.4714652101218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,1605.4839136054163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,1605.4963617243598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,1605.508809566958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,1605.5212571332172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,1605.5337044231435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,1605.546151436743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,1605.5585981740219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,1605.5710446349863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,1605.5834908196423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,1605.595936727996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,1589.608257561439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,1589.6205781213623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,1589.6328984077722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,1589.6452184206748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,1589.6575381600762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,1589.6698576259826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,1589.6821768183997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,1589.694495737334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,1589.706814382791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,1589.7191327547773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,1589.7314508532988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,1589.7437686783614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,1589.7560862299715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,1589.768403508135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,1589.780720512858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,1589.7930372441463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,1589.8053537020062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,1589.8176698864438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,1589.8299857974653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,1589.8423014350765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,1589.8546167992836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,1589.8669318900927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,1589.8792467075098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,1589.891561251541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,1589.9038755221923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,1589.9161895194698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,1589.9285032433795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,1589.9408166939277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,1589.9531298711204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,1589.9654427749635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,1589.9777554054633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,1589.9900677626256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,1590.0023798464565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,1590.0146916569622,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,1590.0270031941488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,1590.0393144580223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,1590.0516254485888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,1590.0639361658543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,1590.076246609825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,1590.0885567805067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,1590.1008666779057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,1590.1131763020283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,1590.1254856528801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,1590.1377947304672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,1590.150103534796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,1590.1624120658723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
